subject,run,story_id,audio_path,audio_duration_s,events_path,meg_json_path,meg_fif_path,trig_start_s,trig_end_s,run_duration_s,duration_diff_s,sampling_frequency_hz,missing_start_trigger,auditory_delay_s,time_align_shift_s
01,10,10,stimuli/audio/story_10.wav,240.0,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-10_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-10_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-10_meg.fif,13.806,253.737,239.931,0.069,1000.0,False,0.0395,10.65
01,11,11,stimuli/audio/story_11.wav,398.336,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-11_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-11_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-11_meg.fif,6.623,404.971,398.348,-0.012,1000.0,False,0.0395,10.65
01,12,12,stimuli/audio/story_12.wav,351.712,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-12_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-12_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-12_meg.fif,6.94,358.655,351.715,-0.003,1000.0,False,0.0395,10.65
01,13,13,stimuli/audio/story_13.wav,323.744,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-13_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-13_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-13_meg.fif,10.632,334.353,323.721,0.023,1000.0,False,0.0395,10.65
01,14,14,stimuli/audio/story_14.wav,318.992,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-14_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-14_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-14_meg.fif,8.624,327.584,318.96,0.032,1000.0,False,0.0395,10.65
01,15,15,stimuli/audio/story_15.wav,307.712,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-15_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-15_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-15_meg.fif,7.555,315.248,307.693,0.019,1000.0,False,0.0395,10.65
01,16,16,stimuli/audio/story_16.wav,294.496,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-16_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-16_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-16_meg.fif,7.288,301.744,294.456,0.04,1000.0,False,0.0395,10.65
01,17,17,stimuli/audio/story_17.wav,280.0,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-17_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-17_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-17_meg.fif,10.996,290.966,279.97,0.03,1000.0,False,0.0395,10.65
01,18,18,stimuli/audio/story_18.wav,274.48,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-18_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-18_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-18_meg.fif,10.426,284.853,274.427,0.053,1000.0,False,0.0395,10.65
01,19,19,stimuli/audio/story_19.wav,263.648,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-19_events.tsv,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-19_meg.json,derivatives/preprocessed_data/sub-01/MEG/sub-01_task-RDR_run-19_meg.fif,5.919,269.521,263.602,0.046,1000.0,False,0.0395,10.65
